,movie_comment,movie_id,movie_score,movie_time
342,一部片子，可以卖情节，可以卖情怀，可以卖题材，可以卖演员，可以卖视效，可以卖段子，可以卖萌，可以卖腐，韩寒却只卖了大众POLO广告,25805741,3,2014-08-03
343,我说这次张震咋看起来年轻了原来是玉木宏。。。,6796158,1,2014-07-26
344,,20515394,3,2014-07-25
345,看10分钟就能知道后面怎么编呵呵,2298964,2,2014-07-23
346,陈可辛片子里的男人总撕得一手好逼,1947089,4,2014-07-23
347,没见过这么坑儿子的,1304643,4,2014-07-19
348,"- Permission to come aboard, Captain.
-  ... Permission granted.",2132932,4,2014-07-09
349,“沦陷的乌托邦。失去信仰的耶路撒冷。”,10514844,5,2014-07-08
350,浪费CAST,1305053,3,2014-07-06
351,看完以后就是艹艹艹艹的感觉,3011997,3,2014-07-06
352,爆米花丧尸片,6021916,4,2014-07-06
353,想讲的太多，讲好的太少；Mélanie所有角色都是碧池么；卷毛加一星,6517421,4,2014-07-06
354,有生之年还能看到卷毛的水仙：）,10466617,5,2014-07-05
355,伪烧脑片,2334904,5,2014-07-04
